id,stud.id,name,gender,age,format ,studies,score,salary
95,387414,"Thompson, Barbara",Female,20,online,Social Sciences,83,40905.46136
96,419462,"Smith, Hannah",Female,23,online,Political Science,68,44701.60568
97,643124,"Truitt, Raymond",Male,23,online,Mathematics and Statistics,71,43050.49922
98,721649,"Mcelhaney, Aaron",Male,28,online,Social Sciences,57,50756.55062
99,777522,"Gabel, Jeremy",Male,24,online,Social Sciences,75,40007.98851
100,539383,"Ramirez, Jozlyn",Female,22,online,Political Science,60,53800.46341
101,346731,"Lee, Nicholas",Male,22,online,Social Sciences,65,49068.50218
102,913374,"Mundo, Sherron",Male,18,in-person,Social Sciences,81,38422.71358
103,492848,"Maestas, Janet",Female,23,online,Biology,65,43142.38266
104,631698,"Leyba, Jezzeray",Female,26,in-person,Biology,40,31484.79639
105,442831,"Samad, Drakkar",Male,21,in-person,Biology,70,40574.10528
106,916103,"Aragon, Joel",Male,20,in-person,Social Sciences,77,62307.04322
107,816730,"Manglona, Ricardo",Male,21,online,Political Science,71,38746.63601
108,944417,"Hightower, Janaya",Female,20,online,Mathematics and Statistics,72,26730.7756
109,524371,"Duran, Alexandria",Female,22,in-person,Environmental Sciences,44,25658.82841
110,480022,"Wilder, Caitlyn",Female,22,online,Economics and Finance,91,40958.45002
111,393220,"Pham, Emanuel",Male,20,online,Biology,68,42894.0207
112,328337,"Thill, Andrea",Female,23,in-person,Environmental Sciences,69,41315.55972
113,358961,"Rojas Duarte, Gladys",Female,47,online,Biology,90,48508.07265
114,475771,"Guerette, Austin",Male,49,online,Biology,63,52582.45634
115,348075,"Jones, Megan",Female,21,online,Social Sciences,72,37214.34066
116,335524,"Brooks, Requal",Female,21,in-person,Political Science,90,40171.32868
117,670946,"Garcia, Justice",Female,25,online,Mathematics and Statistics,40,31325.99874
118,314446,"Tran, Travis",Male,20,online,Mathematics and Statistics,31,37812.50445
119,621166,"Schleiker, Caitlin",Female,22,online,Biology,69,34812.38777
120,950531,"Costigan, Issac",Male,22,online,Economics and Finance,88,49780.1771
121,786879,"Benson, Joseph",Male,22,in-person,Mathematics and Statistics,70,39145.21302
122,718210,"Woo, Onyedikachi",Male,24,online,Political Science,90,53462.19231
123,500133,"Jones, Rebecca",Female,20,online,Environmental Sciences,48,33150.02538
124,640908,"Alyazidi, Gabriel",Male,20,online,Biology,88,44599.50592
125,648227,"Porter, Brandon",Male,24,in-person,Political Science,50,41601.20197
126,726448,"Washington-Cloud, Zvi",Female,21,online,Social Sciences,79,41012.75618
127,362536,"Kelly, Hannah",Female,21,online,Economics and Finance,59,41239.15434
128,445117,"Kim, Dametrious",Male,19,in-person,Environmental Sciences,75,45295.39127
129,141973,"Ayyanar, Bryan",Male,20,in-person,Economics and Finance,70,35631.14194
130,671620,"Trejo, Isaura",Female,22,online,Environmental Sciences,38,30280.57596
131,552687,"Pedersen, Jessica",Female,20,online,Environmental Sciences,61,48667.06794
132,659741,"Rice, Charles",Male,20,in-person,Economics and Finance,70,47723.10304
133,671968,"Thesz, Steven",Male,21,in-person,Social Sciences,91,55057.93856
134,304227,"Nichols, Anthony",Male,21,online,Political Science,78,38932.04137
135,765405,"Vaughn, Christopher",Male,22,online,Mathematics and Statistics,58,33058.21697
136,486243,"Putsche, Le Darius",Male,20,in-person,Biology,69,36840.84932
137,711793,"Perales, Aaliyah",Female,22,online,Social Sciences,54,29195.49695
138,410319,"Wiggins, Daniel",Male,20,in-person,Social Sciences,62,48735.87871
139,980941,"Thomas, Ayrielle",Female,20,online,Biology,62,33910.84453
140,605051,"Williams, Kristal",Female,19,online,Social Sciences,87,47211.38772
141,213944,"Gant, Brianna",Female,20,online,Economics and Finance,49,25164.41043
142,199303,"Hassan, Goliath",Male,21,online,Political Science,67,53297.19095
143,652632,"Kennon, Joseph",Male,33,online,Economics and Finance,80,45583.58072
144,240928,"Morgan, Kelly",Female,21,online,Biology,66,47172.47153
145,462072,"Camacho, Brandon",Male,23,in-person,Biology,68,47556.43909
146,342507,"Yun, Johnny",Male,22,in-person,Economics and Finance,88,40846.99347
147,572435,"Joseph, Edgar",Male,20,in-person,Political Science,90,44409.08068
148,288632,"Rodriguez, Atif",Male,24,online,Political Science,88,44728.78126
149,384106,"Talley, Samantha",Female,19,online,Environmental Sciences,76,40593.39145
150,645562,"Stokes, Paige",Female,20,in-person,Economics and Finance,49,28929.07149
151,519478,"Denhartog, Raymond",Male,20,online,Social Sciences,72,34979.13595
152,360136,"Wommack, Kenji",Male,24,online,Biology,69,43434.40255
153,205083,"Palmer, Arif",Male,21,in-person,Biology,74,42310.09137
154,474060,"Song, Kristopher",Male,21,online,Economics and Finance,86,49115.40783
155,124588,"Brown, Savannah",Female,22,online,Social Sciences,74,44826.96789
156,958720,"Human, Felicia",Female,21,online,Environmental Sciences,56,37239.17407
157,155294,"Soto, Shella",Female,19,online,Social Sciences,83,42463.4793
158,271875,"Yu, Shaquille",Male,21,in-person,Political Science,69,38925.60078
159,767035,"Phouminh, Collin",Male,52,in-person,Political Science,89,56558.16074
160,648608,"Tejan, Natasha",Female,23,online,Social Sciences,66,29891.67194
161,866896,"Kauffmann, Wyatt",Male,23,online,Biology,77,44423.38722
162,162969,"Escobar, Selena",Female,24,online,Political Science,86,39337.90389
163,343541,"Wollenzin, Teri",Female,22,in-person,Environmental Sciences,68,40473.54825
164,719351,"Willoughby, Carlos",Male,19,in-person,Economics and Finance,44,30591.34458
165,283972,"Jin, Victor",Male,21,online,Mathematics and Statistics,67,44697.61169
166,460292,"Taylor, Chloe",Female,21,online,Economics and Finance,84,41367.11528
167,146405,"Apodaca-Anaya, Daniel",Male,26,online,Economics and Finance,78,32680.60721
168,371565,"Vinod, Angel",Male,24,in-person,Economics and Finance,69,55993.91371
169,112630,"Cseh, Rachael",Female,21,online,Environmental Sciences,50,35939.26382
170,443431,"Toraya-Sosa, Tayvea",Female,20,in-person,Economics and Finance,77,34870.66553
171,318946,"Porter, Julianna",Female,21,online,Environmental Sciences,38,34136.25733
172,659582,"Makaiwi, Yosua",Male,21,online,Social Sciences,81,52433.73347
173,661366,"Rayos, Gerard",Male,19,in-person,Biology,47,36279.91057
174,157197,"Johnson, Loagyn",Female,21,online,Biology,65,41672.00975
175,693691,"Lopez, Mario",Male,23,in-person,Social Sciences,83,51752.34452
176,557698,"Bowman, Jordan",Male,23,online,Political Science,42,34237.20181
177,957099,"Summers, Robert",Male,19,online,Political Science,92,43323.64078
178,553419,"Whiteman, Matthew",Male,19,online,Mathematics and Statistics,43,33836.95779
179,337026,"Kim, William",Male,22,in-person,Economics and Finance,79,65635.9975
180,654954,"Quintana, Alex",Male,63,in-person,Economics and Finance,89,37009.07694
181,354608,"Gonzales, David",Male,20,online,Biology,58,48335.51625
182,330670,"Vasquez, T'Keyah",Female,21,online,Economics and Finance,56,37529.56415
183,393717,"Jefferson, Timothy",Male,24,in-person,Economics and Finance,58,18571.24357
184,929384,"Hermawan, Derantae",Male,21,in-person,Political Science,68,40868.55442
185,509437,"Day, Chinguun",Male,22,online,Environmental Sciences,93,55273.77456
186,431761,"Huffstater, Jonathan",Male,22,in-person,Biology,86,49832.64746
187,493344,"Pettibone, Paige",Female,21,in-person,Mathematics and Statistics,53,27244.06207
188,975648,"Tan, James",Male,22,online,Mathematics and Statistics,70,29667.75535
189,249052,"Sotelo, Laura",Female,22,online,Mathematics and Statistics,54,45712.31886
190,851749,"Perez, Raja",Female,24,online,Mathematics and Statistics,82,52259.07091
191,207217,"Valadez, William",Male,19,online,Mathematics and Statistics,76,37999.59905
192,888237,"Zuni, Roman",Male,18,in-person,Political Science,40,34460.44442
193,591642,"Baig, Alexander",Male,26,online,Environmental Sciences,88,46213.64478
194,173432,"Grainda, Pedro",Male,22,online,Mathematics and Statistics,70,49767.53874
195,641601,"Toledo, Christofer",Male,18,online,Mathematics and Statistics,71,33908.17913
196,518182,"Parson, Nicholas",Male,20,online,Economics and Finance,65,37967.02449
197,429965,"Kief, Keenan",Male,21,in-person,Economics and Finance,93,42631.29645
198,563189,"Begay, Sean",Male,21,online,Economics and Finance,58,30676.6659
199,921385,"Johnson, Jake",Male,19,online,Social Sciences,57,33369.05117
200,409254,"Longwing, Chad",Male,20,online,Social Sciences,79,46161.77792
201,410536,"Lozano, Kurissa",Female,18,online,Environmental Sciences,41,30062.70983
202,382280,"Renehan, David",Male,21,online,Political Science,79,45268.73454
203,767582,"Saldanha, Alexander",Male,21,online,Political Science,72,56308.85373
204,314035,"Herrera Avila, Dejah",Female,20,online,Mathematics and Statistics,76,25998.48077
205,894899,"Perez, Carlos",Male,20,online,Social Sciences,91,47107.35419
206,517410,"Buchanan, Dominic",Male,21,online,Environmental Sciences,88,60492.32148
207,300697,"Silverston, Khiem",Male,21,online,Environmental Sciences,65,44917.8196
208,371501,"Li, Majid",Male,26,online,Political Science,77,57928.76564
209,358344,"Guerra Moreno, Courtney",Female,19,in-person,Social Sciences,74,42364.12
210,489114,"Nguyen, Xavier",Male,22,in-person,Mathematics and Statistics,46,50704.7586
211,422898,"Beltran Ramirez, Bania",Female,25,online,Political Science,72,31763.75495
212,686274,"Rude, Trevon",Male,22,in-person,Political Science,70,32394.79347
213,497787,"Majid, Jordan",Male,20,online,Mathematics and Statistics,71,60675.79303
214,919906,"Gear, Kalah",Female,22,online,Social Sciences,50,37782.86471
215,324890,"Beyene, Rasmi",Female,22,in-person,Political Science,80,46884.35283
216,679734,"Black, Dennis",Male,19,online,Political Science,76,43441.641
217,352462,"Scaggs, Brisha",Female,19,online,Social Sciences,75,38402.67248
218,939002,"Bernhardt, Shelina",Female,19,in-person,Social Sciences,63,25883.02897
219,928126,"Revello, Kevin",Male,19,online,Biology,73,54631.11424
220,640526,"Andrews, Ashlyn",Female,20,in-person,Environmental Sciences,50,28822.61661
221,944068,"Pham, Joseph",Male,22,in-person,Biology,67,43816.50376
222,511097,"Vargas, Lashantarica",Female,63,online,Mathematics and Statistics,72,46130.95409
223,122418,"Collins, Phillip",Male,20,online,Economics and Finance,76,41387.47997
224,656753,"Chavarria, Henry",Male,24,online,Biology,59,41309.06957
225,449566,"Padilla, Alexis",Female,19,in-person,Biology,89,45901.44917
226,570121,"Paredes, Alesia",Female,23,online,Biology,77,31764.44396
227,367500,"Nunez, Vanessa",Female,21,in-person,Environmental Sciences,51,23648.55651
228,685605,"Singh, Ian",Male,26,online,Political Science,79,39239.6384
229,168722,"Abraham, Marcus",Male,20,online,Political Science,73,36845.37157
230,112656,"Chavez, Faith",Female,21,online,Social Sciences,81,37143.85523
231,617808,"Martin, Ayla",Female,20,in-person,Mathematics and Statistics,75,31363.24736
232,442604,"Taylor, Lilly",Female,22,in-person,Biology,63,29039.69103
233,970790,"Ronquillo, Jasmine",Female,19,online,Economics and Finance,85,31824.94161
234,810116,"Hutton, Jonathan",Male,20,online,Environmental Sciences,45,31806.74024
235,128529,"Lee, Alan",Male,20,in-person,Social Sciences,74,62091.43961
236,810071,"Jhaveri, Martin",Male,20,in-person,Mathematics and Statistics,80,39159.6583
237,143602,"Hammond, Mirissa",Female,21,online,Political Science,70,42295.64525
238,741786,"Mendez, Yoselin",Female,22,online,Economics and Finance,50,28015.62354
239,350522,"Barron, Vang",Male,23,online,Political Science,79,43496.36866
240,896546,"Cho, Christopher",Male,20,online,Environmental Sciences,94,58612.23611
241,592878,"Hall, Andrew",Male,20,online,Environmental Sciences,37,39843.84615
242,296420,"Gonzalez, Eva",Female,26,online,Environmental Sciences,48,26452.4497
243,230328,"Patterson, Jarnell",Male,22,online,Economics and Finance,78,56720.61968
244,224270,"Puckett, Paul",Male,19,in-person,Mathematics and Statistics,43,23090.67376
245,200854,"Hernandez, Jhamilex",Female,21,in-person,Social Sciences,76,30741.23729
246,279735,"Guerra, Devonte",Male,23,online,Political Science,69,62052.20232
247,812628,"Bhagat, Jordan",Male,21,online,Environmental Sciences,91,57318.4414
248,278966,"Lopez, Tyler",Male,22,in-person,Political Science,63,60576.84445
249,929790,"Salgado, Tanya",Female,21,in-person,Environmental Sciences,59,22710.2407
250,329063,"Bell, Mirza",Male,19,online,Political Science,85,50402.74704
251,897990,"Matin, Ariel",Male,21,online,Political Science,69,53527.42558
252,943870,"Absher, Kevin",Male,21,online,Biology,73,47902.18725
253,986906,"Taylor, Soo",Female,20,online,Mathematics and Statistics,72,35908.91648
254,932889,"Lewis, Robert",Male,23,online,Economics and Finance,93,46008.15235
255,454208,"Bernatsky, Matthew",Male,21,in-person,Political Science,79,65441.30143
256,805868,"Mack, Naomi",Female,21,online,Economics and Finance,73,35407.27312
257,215559,"Qadri, Thristin",Male,24,online,Biology,79,41393.98842
258,824507,"Rice, Paul",Male,20,online,Mathematics and Statistics,43,36227.44376
259,496263,"Marshall, Michael",Male,21,online,Biology,92,46116.22173
260,288990,"Ortega, Michael",Male,22,in-person,Biology,87,56640.59104
261,403855,"Zuniga, Destiney",Female,24,online,Biology,67,27505.51553
262,797792,"Dedios, Kang",Male,18,in-person,Social Sciences,76,42388.6001
263,930584,"Blas Meza, Cheyanne",Female,22,online,Environmental Sciences,78,43315.01952
264,589397,"Garcia Alvarado, Ariana",Female,20,online,Environmental Sciences,87,40961.23435
265,900121,"Gallegos, Anthony",Male,22,online,Social Sciences,91,60675.75398
266,963635,"Valdez, Savannha",Female,23,in-person,Mathematics and Statistics,82,41387.99385
267,356309,"Harney, Ander",Male,21,online,Social Sciences,64,71537.22292
268,978287,"Padeway, Dan",Male,53,in-person,Political Science,81,65107.53227
269,778740,"Fernandes, Andrew",Male,19,in-person,Mathematics and Statistics,72,41610.77638
270,571639,"Chau, Zacariah",Male,23,in-person,Social Sciences,54,53319.9143
271,828818,"Faktorovich, Briana",Female,21,online,Economics and Finance,77,24382.6483
272,162522,"Knoll, Gabriel",Male,26,online,Mathematics and Statistics,66,42826.17211
273,811189,"Gloyd, Jun-Wo",Male,18,in-person,Mathematics and Statistics,67,47490.25317
274,976857,"Martinez, Dante",Male,20,online,Social Sciences,93,44368.14756
275,457405,"Wong, Joshua",Male,29,online,Political Science,76,34293.40071
276,513477,"Valdez, Paulina",Female,19,in-person,Mathematics and Statistics,77,40779.20844
277,558477,"Peraza Martinez, Selena",Female,19,online,Environmental Sciences,78,40093.45597
278,304871,"Costa, Landon",Male,20,online,Mathematics and Statistics,85,50496.18194
279,912927,"Sabey, George",Male,18,online,Biology,66,47842.43633
280,385346,"Hicks, Alexis",Female,23,in-person,Biology,55,40606.4072
281,812008,"Clift, Jiali",Female,26,online,Social Sciences,85,40188.57795
282,857491,"Bueno, Brittany",Female,23,online,Biology,70,40032.78371
283,809408,"Minor, Christopher",Male,20,in-person,Political Science,69,45224.23314
284,988524,"Tann, Rene",Male,23,in-person,Mathematics and Statistics,78,50910.6527
285,674333,"Davis, Marce",Female,21,online,Biology,44,24104.96887
286,865842,"Garcia, Troy",Male,22,in-person,Biology,92,47000.86575
287,477711,"Small, Falisha",Female,25,in-person,Political Science,66,40480.79397
288,236613,"Doughty, Malcolm",Male,21,in-person,Social Sciences,88,52856.89077
289,557212,"Lu, Jonatan",Male,23,online,Social Sciences,74,32850.00387
290,199539,"Quangson, Aaron",Male,24,online,Economics and Finance,61,42176.90829
291,425631,"Tang, Jorge",Male,22,online,Political Science,79,39814.40857
292,279381,"Romero, Brittany",Female,22,in-person,Political Science,47,26744.0631
293,944466,"Mireles, Shelly",Female,24,in-person,Political Science,82,38405.23134
294,664732,"Zapata, Veronica",Female,18,online,Social Sciences,79,42539.95084
295,263680,"Eastburn-Rundle, Haliegh",Female,60,online,Social Sciences,64,34519.54699
296,674442,"Williams, Tiberius",Male,19,online,Political Science,58,66636.72062
297,728029,"Gramse, Brady",Female,20,online,Economics and Finance,50,27893.25871
298,355031,"Hansen, John",Male,23,in-person,Economics and Finance,72,46434.88134
299,335768,"Ibarra, Jaizmin",Female,25,online,Mathematics and Statistics,48,31483.59427
300,169650,"Ashworth, Noah",Male,19,in-person,Biology,53,41391.62004
301,659253,"Givens, Jaspreet",Female,23,in-person,Mathematics and Statistics,80,37569.62228
302,206207,"Weiss, Peter",Male,20,online,Mathematics and Statistics,66,47209.53661
303,589505,"Gamez, Trice",Female,20,in-person,Mathematics and Statistics,66,40087.25358
304,384883,"Salazar, Rojan",Male,24,online,Political Science,89,61384.54935
305,247151,"Ortega, Marissa",Female,21,online,Environmental Sciences,53,24332.58702
306,966961,"Amon, Ewald",Male,20,in-person,Biology,57,51126.52593
307,169114,"Muniz, Raquel",Female,21,online,Social Sciences,56,29216.86448
308,905296,"Sleevi, Veronica",Female,24,in-person,Mathematics and Statistics,55,37240.11334
309,324756,"Mares, Richie",Male,19,online,Environmental Sciences,90,44368.67011
310,487096,"Rodrigues, Daylamae",Female,19,online,Economics and Finance,62,19636.58837
311,498504,"Brooks, Ethan",Male,21,in-person,Economics and Finance,90,65397.21855
312,596678,"Rose, Joshua",Male,23,online,Political Science,75,41541.09399
313,448938,"Warren, Alex",Male,23,online,Social Sciences,86,53471.52212
314,366237,"Thompson, Joon Ho",Male,21,online,Mathematics and Statistics,44,27488.454
315,551707,"Arellano, Elnora",Female,22,online,Political Science,69,36829.37158
316,321349,"Wright, Tyler",Male,22,in-person,Political Science,60,57427.14105
317,836456,"Gor, Brian",Male,21,in-person,Mathematics and Statistics,72,57029.39386
318,134081,"Hudson, Jesus",Male,22,in-person,Mathematics and Statistics,74,53304.27651
319,669750,"Pak, Rashad",Male,22,online,Mathematics and Statistics,72,45281.81173
320,287888,"Boykin, Vincent",Male,18,in-person,Economics and Finance,87,41816.70065
321,176666,"Smith, Eric",Male,22,online,Social Sciences,81,45676.76977
322,554521,"Pollet, Morgan",Female,24,online,Social Sciences,57,11444.14165
323,199840,"Tran, Rakim",Male,22,online,Political Science,95,50827.34401
324,189421,"Montoya, Jayla",Female,22,online,Environmental Sciences,61,41282.13491
325,464978,"Holeso, Devon",Male,24,online,Economics and Finance,67,36351.36267
326,982773,"Chanthongthip, Kevin",Male,19,online,Economics and Finance,49,33354.01753
327,787385,"Yoshimura, Victor",Male,20,online,Economics and Finance,91,50474.89975
328,594536,"Nguyen, Kyle",Male,21,online,Mathematics and Statistics,79,57559.89058
329,879901,"Pham, Joshua",Male,19,online,Environmental Sciences,79,40489.48767
330,507809,"Ramos, Monique",Female,23,online,Biology,34,31151.41714
331,252629,"Tsosie, Khashkhuu",Male,19,online,Biology,76,34397.78413
332,454608,"Do, Keven",Male,21,in-person,Social Sciences,77,40925.29349
333,554591,"Montoya, Felicia",Female,20,in-person,Economics and Finance,69,31646.2595
334,507150,"Douglas, Allen",Male,21,in-person,Biology,54,43989.75161
335,788689,"Gurule, Tyler",Male,20,in-person,Environmental Sciences,80,42548.76059
336,699241,"Hart, Vanessa",Female,20,online,Mathematics and Statistics,80,29496.8661
337,792334,"Paz, Jehimy",Female,20,in-person,Economics and Finance,53,24394.5899
338,660217,"Ortega, Alexandria",Female,19,online,Economics and Finance,78,33493.16088
339,862492,"Armbruster, Tony",Male,21,in-person,Mathematics and Statistics,68,39805.78196
340,122995,"Lee, Cesar",Male,22,in-person,Social Sciences,76,54206.22179
341,380838,"Yee, Conrad",Male,20,in-person,Biology,68,46320.61033
342,484517,"Jacket, Yihang",Male,21,online,Environmental Sciences,81,51828.65795
343,511445,"Mascarenas, Solicia",Female,23,online,Mathematics and Statistics,79,29854.7992
344,861582,"Plenty Wolf, Cheyenne",Male,22,in-person,Biology,86,48991.98355
345,189725,"Tarin, Shaquell",Male,28,online,Biology,78,41134.95944
346,617826,"Davis, Jaden",Male,21,in-person,Social Sciences,84,46889.48254
347,600853,"Walker, Dimitri",Male,22,in-person,Economics and Finance,80,41414.74231
348,869069,"Franklin, Mark",Male,20,in-person,Economics and Finance,85,50329.83591
349,177802,"Longoria, Ian",Male,19,online,Social Sciences,57,40453.83153
350,309801,"Heidrich, Anthony",Male,20,in-person,Economics and Finance,78,51416.20041
351,158666,"Matthews, Tiffany",Female,19,online,Political Science,94,38368.90506
352,805375,"Lopez, Van",Male,38,in-person,Mathematics and Statistics,76,49777.2153
353,565447,"Woo, Alfredo",Male,25,online,Environmental Sciences,70,63375.37993
354,725752,"Oetken, Michael",Male,21,in-person,Environmental Sciences,46,61663.58283
355,392417,"Clausen, Alyzza",Female,22,in-person,Economics and Finance,55,28820.16429
356,296396,"Cuevas, Riyo",Female,20,online,Environmental Sciences,85,39224.06219
